username,firstName,lastName,stageName,country,dateJoined,phone,email,genre,dayRank,monthRank,weekRank,totalDislikes,totalLikes,dateOfBirth
osnowlingd,Orson,Snowling,Captain Rhythm,Greece,2023-08-11,357-492-3505,osnowlingd@un.org,reggae,1848,4509,2678,342705,283688,1982-05-26
mmcilorye,Michaela,Mc Ilory,The Soulful Serenade,China,2023-03-07,430-985-8294,mmcilorye@mac.com,electronic,7193,9501,3822,790882,710362,1952-01-06
twiddowfieldf,Tristam,Widdowfield,The Electric Dream,Brazil,2023-02-07,983-578-5522,twiddowfieldf@aol.com,rap,3377,8179,8884,736859,888100,2015-03-17
ldjakovicg,Laure,Djakovic,DJ Sparkle,Brazil,2023-07-01,336-645-1902,ldjakovicg@msu.edu,pop,5466,6448,8523,229285,542359,2016-09-12
nsouthcotth,Nora,Southcott,Captain Rhythm,Malaysia,2023-03-17,137-544-2428,nsouthcotth@cnet.com,latin,6224,9336,5240,672699,489903,1947-02-17
bsparhami,Brinna,Sparham,The Soulful Serenade,Indonesia,2022-12-26,620-276-2618,bsparhami@blinklist.com,folk,525,6416,1316,714692,927842,2011-07-28
mjefferysj,Marie-jeanne,Jefferys,The Soulful Serenade,Indonesia,2023-07-14,595-696-2735,mjefferysj@samsung.com,r&b,1668,8918,8112,80272,186747,1951-11-16
edomnink,Ernst,Domnin,The Soulful Serenade,China,2023-09-20,935-355-7908,edomnink@flavors.me,soul,5228,2054,9745,805852,612087,2021-05-26
ireyburnl,Iorgo,Reyburn,The Melodic Muse,Bulgaria,2023-10-04,808-840-0871,ireyburnl@behance.net,dance,6337,6606,5180,744219,87826,1952-03-09
kfirbym,Katinka,Firby,The Electric Dream,China,2023-09-11,165-587-8206,kfirbym@cdbaby.com,r&b,9764,1565,3362,677925,259929,1970-06-26
ebarzenn,Eli,Barzen,The Groovy Guru,Vietnam,2023-01-04,677-738-1591,ebarzenn@bbb.org,pop,3432,7007,6891,194890,466828,1987-10-14
atwohigo,Antonius,Twohig,DJ Sparkle,France,2023-02-22,740-763-2090,atwohigo@wix.com,r&b,4582,2564,9365,214427,42738,1962-10-08
rwitnallp,Ruthanne,Witnall,Lady Stardust,Sweden,2023-09-28,172-675-5299,rwitnallp@amazon.com,rap,623,2561,164,133610,339029,2000-01-16
rgandersq,Rustie,Ganders,The Funky Beat,Indonesia,2023-07-14,689-225-1496,rgandersq@free.fr,alternative,6199,2464,8119,669084,967793,2002-07-18
mklementr,Maud,Klement,The Melodic Muse,Egypt,2023-06-23,320-644-9211,mklementr@cnbc.com,classical,8575,7874,8000,430205,237115,2007-10-16
gbirdwistles,Gusta,Birdwistle,The Melodic Muse,China,2022-12-07,975-724-1828,gbirdwistles@wikipedia.org,reggae,5459,6063,7299,158705,29299,2012-02-09
gbrasset,Georgeta,Brasse,The Melodic Muse,South Korea,2023-05-18,486-417-5107,gbrasset@networksolutions.com,latin,1093,6695,325,492816,70160,1936-08-29
wgronalleru,Wood,Gronaller,Captain Rhythm,Serbia,2023-06-06,959-142-5198,wgronalleru@huffingtonpost.com,indie,3730,4218,722,960111,305977,1966-11-01
eizchakiv,Egor,Izchaki,The Groovy Guru,China,2023-05-30,102-112-2432,eizchakiv@ox.ac.uk,jazz,545,9201,6100,93892,421400,1970-04-22
llusherw,Leyla,Lusher,The Groovy Guru,Germany,2023-10-27,200-296-2414,llusherw@hugedomains.com,pop,1973,3569,8385,826068,943438,2014-10-27
civattx,Carmine,Ivatt,MC Groove,China,2023-02-25,454-821-0818,civattx@pagesperso-orange.fr,indie,1677,9584,5846,508609,739145,1945-04-26
gelstoby,Guillaume,Elstob,DJ Sparkle,Sweden,2023-03-16,639-792-1445,gelstoby@cisco.com,blues,8848,4858,5221,401982,319898,2023-10-01
tlinez,Timothee,Line,The Harmonic Hype,China,2023-09-30,803-910-2632,tlinez@amazonaws.com,rap,5693,4607,4544,502272,227629,1984-12-23
bsparhawk10,Britney,Sparhawk,The Melodic Muse,Philippines,2023-08-13,927-120-8233,bsparhawk10@tripod.com,jazz,7394,5262,8047,472269,191887,1995-06-19
adenisevich11,Alasteir,Denisevich,The Funky Beat,Russia,2023-09-01,391-195-9302,adenisevich11@merriam-webster.com,latin,1422,9680,4014,560536,197003,1976-10-21
opapaccio12,Orren,Papaccio,Captain Rhythm,Syria,2023-08-28,743-232-5787,opapaccio12@biglobe.ne.jp,country,3674,8422,2075,970748,837374,1938-10-27
pmillhill13,Peder,Millhill,Lady Stardust,Poland,2023-11-04,668-563-5983,pmillhill13@lycos.com,classical,8982,6038,9547,273868,253672,1951-12-01
ktroak14,Kimbell,Troak,The Melodic Muse,China,2022-12-30,392-591-4729,ktroak14@irs.gov,metal,9810,352,4909,223757,711889,1968-07-08
chamson15,Cosimo,Hamson,The Soulful Serenade,Iran,2023-07-31,698-626-6574,chamson15@webnode.com,classical,7690,4338,2180,610017,705086,1967-03-20
dhamnet16,Darice,Hamnet,DJ Sparkle,China,2023-06-03,146-154-6708,dhamnet16@miibeian.gov.cn,gospel,4803,1219,2186,599799,8223,1967-05-18
escotts17,Elana,Scotts,Captain Rhythm,France,2023-11-07,450-184-5130,escotts17@bloglines.com,jazz,5298,9241,2264,868810,201714,1980-07-22
tganders18,Theo,Ganders,DJ Sparkle,Kazakhstan,2023-05-26,627-505-7912,tganders18@surveymonkey.com,country,1257,761,5115,942173,971777,1932-07-07
wworham19,Wilie,Worham,The Electric Dream,Indonesia,2023-05-19,803-737-7456,wworham19@ucla.edu,r&b,3082,8439,1560,170762,822676,1952-11-25
nscaddon1a,Noe,Scaddon,The Soulful Serenade,Vietnam,2022-12-15,811-652-7235,nscaddon1a@google.com.br,r&b,4527,6092,4123,970652,769072,1932-05-24
dchiese1b,Denise,Chiese,The Soulful Serenade,Peru,2023-09-08,164-247-4095,dchiese1b@deliciousdays.com,reggae,8952,5789,5236,514316,410330,1975-08-15
rlaugherane1c,Richard,Laugherane,The Funky Beat,Sweden,2023-05-18,819-263-6506,rlaugherane1c@people.com.cn,punk,305,3107,9756,8583,214162,2023-07-10
gcroser1d,Ginger,Croser,The Melodic Muse,China,2023-01-20,617-514-2224,gcroser1d@howstuffworks.com,dance,9876,8865,216,877626,218438,1992-12-08
mpandie1e,Melodee,Pandie,Lady Stardust,China,2023-01-10,690-423-9761,mpandie1e@yale.edu,jazz,7575,3094,3156,146373,560340,2009-10-21
cschmidt1f,Cindra,Schmidt,The Harmonic Hype,Thailand,2023-07-14,292-246-7828,cschmidt1f@timesonline.co.uk,pop,4386,2341,3736,499056,254965,1933-08-03
ascotcher1g,Ange,Scotcher,Captain Rhythm,Indonesia,2023-08-30,605-908-9349,ascotcher1g@army.mil,metal,8743,3190,8927,997902,830281,1998-05-27
aduxfield1h,Antin,Duxfield,The Soulful Serenade,Costa Rica,2023-11-27,275-803-7008,aduxfield1h@who.int,metal,3981,4328,1525,931438,735997,1974-05-24
mbiggin1i,Myron,Biggin,The Electric Dream,China,2023-09-03,144-171-3671,mbiggin1i@4shared.com,classical,8854,2277,5589,353930,374333,1963-10-08
bwanjek1j,Brewster,Wanjek,The Electric Dream,Sweden,2022-12-26,669-280-9341,bwanjek1j@lulu.com,blues,6953,2442,5557,577550,713452,1996-05-11
mwillgrass1k,Milzie,Willgrass,The Melodic Muse,Indonesia,2023-08-21,651-358-3652,mwillgrass1k@digg.com,dance,473,3600,3897,533394,648274,1990-11-09
athombleson1l,Ania,Thombleson,DJ Sparkle,Luxembourg,2023-07-17,935-862-4754,athombleson1l@state.tx.us,gospel,389,8209,7754,673519,979694,1988-02-24
pcawthron1m,Prinz,Cawthron,Captain Rhythm,Russia,2023-09-14,371-722-1614,pcawthron1m@samsung.com,rock,8284,7991,3352,690650,391932,1960-10-28
awilde1n,Abbey,Wilde,MC Groove,Yemen,2023-02-28,103-607-0158,awilde1n@bing.com,dance,7253,9656,7005,723833,349548,1957-10-21
browat1o,Brenden,Rowat,Captain Rhythm,Indonesia,2023-01-16,750-894-6598,browat1o@bbb.org,r&b,6408,6249,884,243823,686424,1945-11-02
pludwig1p,Perren,Ludwig,The Groovy Guru,Syria,2023-09-09,412-953-4767,pludwig1p@t.co,electronic,8043,4800,1615,474170,963814,1961-06-11
rbrogi1q,Rosene,Brogi,Captain Rhythm,Philippines,2023-02-26,162-971-3375,rbrogi1q@ow.ly,indie,6191,6287,9855,445051,287860,1973-02-06
opember1r,Olivier,Pember,The Electric Dream,Bangladesh,2023-01-01,594-402-1653,opember1r@reverbnation.com,dance,2870,6793,6507,933087,888829,2018-07-01
rworms1s,Reggie,Worms,The Soulful Serenade,French Guiana,2023-05-17,474-450-9813,rworms1s@washingtonpost.com,r&b,526,5352,2829,574792,848223,1993-11-19
cgrimmert1t,Clayson,Grimmert,The Melodic Muse,Indonesia,2023-07-07,971-405-5569,cgrimmert1t@nps.gov,hip hop,7222,7521,9129,457631,267679,1952-12-31
tdavio1u,Tiertza,Davio,Lady Stardust,Philippines,2023-04-24,549-540-1964,tdavio1u@patch.com,folk,5237,9859,2959,888521,745205,2006-10-06
glippitt1v,Gill,Lippitt,Lady Stardust,Mongolia,2023-01-06,932-866-4405,glippitt1v@trellian.com,r&b,6140,4908,6050,817600,136711,1938-10-25
nrudgard1w,Niles,Rudgard,The Melodic Muse,Portugal,2023-09-02,620-102-9438,nrudgard1w@go.com,gospel,1992,1351,7991,666397,111778,1955-08-26
csimms1x,Cornie,Simms,The Harmonic Hype,Brazil,2023-07-22,546-336-9840,csimms1x@examiner.com,indie,7629,712,6124,559526,397272,1972-10-10
evickar1y,Esme,Vickar,MC Groove,Latvia,2023-09-08,442-500-4545,evickar1y@paypal.com,reggae,852,1930,6628,215993,940074,2016-10-06
lpostians1z,Lilia,Postians,DJ Sparkle,Netherlands,2023-07-10,262-199-6362,lpostians1z@360.cn,gospel,8935,6404,3197,847580,267609,1944-11-15
rsimyson20,Rodie,Simyson,DJ Sparkle,Azerbaijan,2023-07-26,167-837-1999,rsimyson20@paginegialle.it,r&b,4896,9168,392,182711,565410,2002-07-21
ndanet21,Norean,Danet,Captain Rhythm,China,2023-05-22,440-926-0225,ndanet21@odnoklassniki.ru,rap,6516,9305,9594,560137,691088,1995-02-09
hfrend22,Helaina,Frend,The Funky Beat,Argentina,2023-03-17,439-455-3933,hfrend22@google.cn,electronic,2538,2864,4292,320962,310655,1949-09-28
glombardo23,Gian,Lombardo,DJ Sparkle,Philippines,2022-12-21,965-372-8807,glombardo23@unblog.fr,gospel,2115,5477,2683,406233,122771,2010-12-22
cfilyushkin24,Clark,Filyushkin,The Soulful Serenade,South Korea,2023-10-05,553-831-7896,cfilyushkin24@ehow.com,punk,8377,9734,4832,642682,986648,1972-06-17
ncanadine25,Nesta,Canadine,DJ Sparkle,Tunisia,2023-05-01,351-678-6057,ncanadine25@sourceforge.net,pop,8947,1532,8964,302599,294495,1958-11-02
fgorton26,Frances,Gorton,Captain Rhythm,Indonesia,2023-11-12,554-588-7916,fgorton26@seesaa.net,folk,5379,7050,2670,628010,613129,1933-02-23
mgrimsdell27,Merrie,Grimsdell,The Melodic Muse,United Kingdom,2023-06-07,988-236-0784,mgrimsdell27@un.org,jazz,831,5963,9581,619197,447800,1964-12-08
sfacey28,Sheila-kathryn,Facey,The Melodic Muse,China,2023-08-08,537-216-2485,sfacey28@themeforest.net,rap,8063,5211,8354,935475,401418,1943-05-05
jveck29,Jarvis,Veck,DJ Sparkle,Poland,2023-03-24,298-238-3500,jveck29@ameblo.jp,r&b,5792,1411,4416,429873,707765,1941-09-27
istudders2a,Isis,Studders,DJ Sparkle,Indonesia,2023-07-21,626-173-8241,istudders2a@cdc.gov,dance,3683,1929,9409,178255,969884,1978-10-23
rhalwill2b,Randy,Halwill,The Melodic Muse,Indonesia,2023-04-19,872-868-9984,rhalwill2b@hubpages.com,folk,1307,6356,7585,189129,601198,2007-08-25
spyford2c,Silvio,Pyford,The Electric Dream,Indonesia,2023-02-02,560-853-5895,spyford2c@godaddy.com,blues,207,7382,8910,786534,85241,2015-11-15
alandell2d,Arleta,Landell,Lady Stardust,Indonesia,2023-05-05,914-141-5743,alandell2d@usgs.gov,electronic,6803,3993,575,730207,553534,2009-01-11
elomasny2e,Edithe,Lomasny,The Melodic Muse,Indonesia,2023-10-06,556-984-9761,elomasny2e@businesswire.com,rock,2497,6668,5354,380351,863091,1944-05-08
gvannucci2f,Glenine,Vannucci,The Electric Dream,China,2023-05-14,606-779-4258,gvannucci2f@sourceforge.net,rap,9489,5093,7349,929982,786659,1994-10-06
mbassford2g,Mart,Bassford,Lady Stardust,Ireland,2023-09-29,547-347-9226,mbassford2g@youku.com,alternative,2145,5315,5953,418270,159142,2016-03-31
smcdermot2h,Stu,McDermot,The Soulful Serenade,Laos,2022-12-16,997-761-9580,smcdermot2h@simplemachines.org,country,1991,9875,7619,979052,634473,2016-04-30
jnipper2i,Janka,Nipper,Captain Rhythm,China,2023-07-29,692-943-3396,jnipper2i@weather.com,country,3407,3469,4403,573028,113087,2001-05-17
abackman2j,Alwyn,Backman,MC Groove,China,2022-12-16,252-593-3491,abackman2j@blog.com,hip hop,993,8719,9798,934324,677692,1942-04-12
gnoah2k,Gleda,Noah,The Melodic Muse,Greece,2023-03-16,705-825-9906,gnoah2k@webs.com,latin,9271,6762,6221,212617,823859,1951-04-20
rgoldberg2l,Reeta,Goldberg,The Soulful Serenade,Peru,2023-05-21,566-389-9101,rgoldberg2l@mtv.com,indie,5699,5993,2136,1575,491276,2005-05-07
ngoutcher2m,Netta,Goutcher,The Harmonic Hype,China,2023-11-19,557-590-0776,ngoutcher2m@fc2.com,soul,1933,3785,8998,482683,211757,1982-02-19
bonians2n,Brendis,Onians,DJ Sparkle,Russia,2023-04-04,374-882-6854,bonians2n@wikia.com,rock,4830,9299,7889,536914,487446,2010-01-23
pmacailine2o,Patrizia,MacAiline,The Melodic Muse,Russia,2023-11-14,692-251-2592,pmacailine2o@reverbnation.com,r&b,4032,250,4330,32330,515739,1962-07-21
skillingsworth2p,Susie,Killingsworth,The Melodic Muse,Indonesia,2023-03-14,161-829-3100,skillingsworth2p@uol.com.br,pop,8623,5253,8466,988926,125606,2016-09-18
oflaws2q,Orelee,Flaws,Captain Rhythm,Croatia,2023-01-30,952-591-5008,oflaws2q@4shared.com,dance,2902,8857,2895,977289,755375,1950-02-26
ilarn2r,Isis,Larn,Lady Stardust,Ukraine,2023-06-09,273-920-9204,ilarn2r@arstechnica.com,electronic,3576,3114,1419,455387,79533,1957-07-15
