username,firstName,lastName,stageName,country,dateJoined,phone,email,genre,dayRank,monthRank,weekRank,totalDislikes,totalLikes,dateOfBirth
nconboym,Nap,Conboy,DJ Sparkle,China,9/24/2023,337-231-8804,nconboym@theguardian.com,punk,373,2654,2027,682852,732469,8/24/1954
ahavickn,Arnold,Havick,MC Groove,China,7/5/2023,954-760-1244,ahavickn@bizjournals.com,indie,5121,872,9566,335274,451249,12/9/1969
mschuelckeo,Milissent,Schuelcke,Lady Stardust,Greece,2/1/2023,208-246-2331,mschuelckeo@51.la,hip hop,1947,2612,8112,282945,128530,1/22/1978
smelrossp,Sherye,Melross,The Melodic Muse,Portugal,9/8/2023,268-418-1630,smelrossp@mit.edu,dance,1732,62,3938,818533,318052,8/12/1992
ewooddisseq,Estella,Wooddisse,The Electric Dream,United States,10/13/2023,512-341-5510,ewooddisseq@qq.com,pop,8969,1814,7306,284396,351622,8/27/1935
ekidr,Emylee,Kid,Captain Rhythm,Cuba,2/17/2023,743-581-7882,ekidr@ning.com,folk,8210,1005,3505,156009,496714,11/13/1982
kchritchlows,Karissa,Chritchlow,The Groovy Guru,Nicaragua,11/26/2023,127-664-4561,kchritchlows@cisco.com,gospel,7148,3419,6559,357268,968515,8/30/2014
wwordswortht,Wallie,Wordsworth,DJ Sparkle,Indonesia,12/22/2022,597-249-1382,wwordswortht@skyrock.com,rap,9860,3854,5924,331251,534126,9/26/1969
esarfatu,Evelyn,Sarfat,MC Groove,Poland,1/20/2023,262-884-5111,esarfatu@ebay.co.uk,latin,3201,4653,1226,597354,264356,1/26/2010
letonv,Luisa,Eton,MC Groove,Poland,4/23/2023,651-126-2041,letonv@rambler.ru,country,6242,6569,8559,677929,99096,8/15/1934
tbodellw,Tarrah,Bodell,The Melodic Muse,Philippines,11/1/2023,113-868-1915,tbodellw@jalbum.net,pop,5987,8829,6788,402479,989041,11/18/1968
nhathawayx,Nicolea,Hathaway,The Electric Dream,Poland,9/16/2023,879-193-3509,nhathawayx@hugedomains.com,classical,3963,5828,6166,356046,681466,3/12/1935
rtrevithicky,Roderich,Trevithick,The Groovy Guru,Croatia,1/16/2023,299-374-7510,rtrevithicky@un.org,dance,823,5439,4447,430778,828185,3/25/2009
hokinneallyz,Haley,O'Kinneally,The Soulful Serenade,Philippines,3/7/2023,809-725-0138,hokinneallyz@google.es,indie,8461,1689,6499,697264,349219,7/27/1938
ltwort10,Law,Twort,The Soulful Serenade,Tajikistan,3/19/2023,937-376-1830,ltwort10@nifty.com,classical,4131,6233,4262,990649,593792,1/6/1938
nsemorad11,Nananne,Semorad,MC Groove,Sweden,6/4/2023,978-260-6965,nsemorad11@archive.org,electronic,4776,7083,2138,753970,608516,5/15/2020
dlicciardello12,Dru,Licciardello,The Funky Beat,Portugal,8/21/2023,442-863-8572,dlicciardello12@sohu.com,electronic,6043,1536,5258,620091,424419,3/22/2023
lmitcham13,Leela,Mitcham,DJ Sparkle,Mongolia,2/7/2023,159-373-6245,lmitcham13@etsy.com,hip hop,4123,3132,8412,753767,229417,6/7/1973
valeksankin14,Vida,Aleksankin,The Electric Dream,Philippines,4/17/2023,821-169-5406,valeksankin14@privacy.gov.au,pop,5005,4409,643,546302,28259,7/8/2021
gcurling15,Galven,Curling,The Groovy Guru,Israel,4/15/2023,636-489-0113,gcurling15@indiatimes.com,r&b,520,8412,1285,719379,301678,3/1/1935
bboutcher16,Bari,Boutcher,MC Groove,Belarus,7/19/2023,240-161-9877,bboutcher16@artisteer.com,jazz,6393,7066,8880,1570,217799,10/27/1981
bgillbey17,Brooke,Gillbey,The Funky Beat,Peru,10/22/2023,241-542-8502,bgillbey17@discuz.net,classical,4981,1357,2816,458001,759233,11/20/2001
ghuyche18,Gerrilee,Huyche,The Melodic Muse,Indonesia,11/4/2023,815-168-0853,ghuyche18@google.cn,punk,3966,4585,6424,407763,124826,10/7/1998
gwoolerton19,Gui,Woolerton,The Soulful Serenade,Armenia,5/1/2023,894-231-3803,gwoolerton19@weibo.com,reggae,8096,5048,7197,855207,524298,6/3/1933
ndedman1a,Nichols,Dedman,The Groovy Guru,Philippines,5/22/2023,606-468-7610,ndedman1a@hao123.com,reggae,3361,4451,8758,297161,851752,8/1/1935
ecornehl1b,Emmery,Cornehl,The Harmonic Hype,China,10/14/2023,878-904-5662,ecornehl1b@xinhuanet.com,country,8827,4628,5702,763947,89222,4/27/2015
mgoundry1c,Moyra,Goundry,The Soulful Serenade,Philippines,7/3/2023,975-545-7477,mgoundry1c@salon.com,rock,8349,6812,8351,172211,332000,12/28/1974
cwozencraft1d,Catherine,Wozencraft,The Soulful Serenade,Indonesia,4/12/2023,540-284-5524,cwozencraft1d@gizmodo.com,rock,113,3947,4618,604626,965719,6/12/1930
ebrugh1e,Elke,Brugh,The Harmonic Hype,Tanzania,3/16/2023,526-623-5642,ebrugh1e@fc2.com,gospel,9,3431,3461,262326,453422,6/23/1988
rmeddemmen1f,Rickey,Meddemmen,The Electric Dream,Tunisia,3/6/2023,107-312-3214,rmeddemmen1f@soundcloud.com,latin,8263,5711,6094,156099,459016,12/3/1974
smacane1g,Say,MacAne,The Electric Dream,China,2/13/2023,224-671-4759,smacane1g@hatena.ne.jp,reggae,3702,4833,3007,498984,803971,2/28/1973
ajosephson1h,Ada,Josephson,The Electric Dream,Russia,11/26/2023,291-970-5350,ajosephson1h@who.int,electronic,2521,57,149,961933,594378,11/2/1936
clathey1i,Chaunce,Lathey,The Groovy Guru,Indonesia,8/13/2023,476-197-2493,clathey1i@about.me,punk,8693,1885,9630,389371,103147,7/8/1933
bbrandoni1j,Barnebas,Brandoni,Lady Stardust,China,10/29/2023,469-805-5500,bbrandoni1j@google.nl,latin,3240,2600,3842,703381,883925,5/28/1966
nmacginley1k,Nerta,MacGinley,The Groovy Guru,Vietnam,10/28/2023,365-420-4201,nmacginley1k@psu.edu,r&b,2075,7738,8279,495914,990770,5/27/1944
lsnook1l,Lane,Snook,MC Groove,Sweden,5/30/2023,974-409-1779,lsnook1l@bandcamp.com,dance,5127,9344,7311,52243,97311,4/22/1946
cbuffy1m,Chryste,Buffy,DJ Sparkle,China,1/17/2023,520-613-2606,cbuffy1m@xrea.com,r&b,9841,7703,4332,917345,206871,8/16/2012
bwaterson1n,Bald,Waterson,The Harmonic Hype,Philippines,10/4/2023,448-354-0295,bwaterson1n@lulu.com,folk,5640,2899,972,779288,241654,8/22/1980
nburner1o,Noak,Burner,The Funky Beat,Russia,2/19/2023,619-516-4304,nburner1o@prlog.org,classical,3195,419,620,710732,828496,12/14/1981
mlyosik1p,Maryanna,Lyosik,Lady Stardust,Denmark,3/20/2023,916-734-5932,mlyosik1p@prweb.com,punk,2207,1557,2226,158238,935008,2/17/1979
lantoniat1q,Luciana,Antoniat,The Melodic Muse,Syria,9/6/2023,234-610-8816,lantoniat1q@amazon.co.jp,gospel,2982,3326,6026,354660,487095,7/23/1948
kchimenti1r,Karyn,Chimenti,The Soulful Serenade,Egypt,5/6/2023,541-262-7036,kchimenti1r@slate.com,metal,4159,9951,4951,4062,662878,6/3/1931
mgummery1s,Mella,Gummery,The Soulful Serenade,Colombia,9/15/2023,263-784-4605,mgummery1s@histats.com,r&b,7271,8165,842,208933,138446,12/23/1948
cspratt1t,Carleen,Spratt,The Harmonic Hype,Poland,12/17/2022,292-705-8657,cspratt1t@unesco.org,latin,5043,3131,3380,125524,445108,8/14/2007
nbernot1u,Norry,Bernot,The Groovy Guru,China,8/2/2023,510-220-6338,nbernot1u@mapy.cz,reggae,3910,8751,5294,297820,378514,10/20/2005
cduchateau1v,Catharine,Duchateau,The Melodic Muse,Portugal,10/8/2023,406-258-4943,cduchateau1v@oakley.com,blues,536,1321,6265,489478,192305,3/23/1948
lturville1w,Leonie,Turville,The Groovy Guru,Chile,1/13/2023,791-810-9894,lturville1w@liveinternet.ru,folk,4185,2763,9830,437976,486226,1/3/1969
rbaughn1x,Russell,Baughn,Lady Stardust,Brazil,8/30/2023,353-304-6138,rbaughn1x@bigcartel.com,pop,9888,555,440,222270,341882,10/13/1947
bdanielczyk1y,Brendon,Danielczyk,The Groovy Guru,Mongolia,5/21/2023,896-394-6534,bdanielczyk1y@spotify.com,jazz,2303,2832,1275,620220,673793,12/15/1945
averbruggen1z,Arlan,Verbruggen,The Funky Beat,Portugal,5/18/2023,747-857-8973,averbruggen1z@aol.com,latin,9379,6734,4836,246509,801121,9/18/1985
omelloy20,Olin,Melloy,The Funky Beat,China,7/31/2023,813-517-0716,omelloy20@mysql.com,electronic,5767,5402,8919,37554,121856,6/20/2014
abuttfield21,Abigail,Buttfield,The Melodic Muse,Pakistan,8/25/2023,575-702-9221,abuttfield21@state.gov,r&b,3846,6651,6463,761117,590481,4/29/1959
bosheils22,Bobbe,O'Sheils,Captain Rhythm,Guatemala,9/22/2023,434-402-0702,bosheils22@fema.gov,gospel,8085,61,3395,384368,521540,2/26/1935
bpybus23,Bryn,Pybus,DJ Sparkle,Russia,4/4/2023,264-998-8759,bpybus23@go.com,electronic,9202,1365,6436,439619,136347,12/7/1998
dgosz24,Denice,Gosz,The Groovy Guru,Honduras,5/4/2023,432-342-2301,dgosz24@timesonline.co.uk,electronic,3547,3711,8731,487006,959573,11/6/2017
keyckelberg25,Karlyn,Eyckelberg,DJ Sparkle,Portugal,5/30/2023,155-629-5679,keyckelberg25@istockphoto.com,folk,9947,843,6415,156661,240218,1/22/1962
igingell26,Isador,Gingell,Lady Stardust,China,9/10/2023,680-846-4650,igingell26@google.com,reggae,8473,6438,9598,366996,702880,3/25/1968
nemsden27,Niko,Emsden,DJ Sparkle,France,11/9/2023,796-671-7476,nemsden27@parallels.com,pop,2475,2245,8554,196640,854397,8/25/1953
mpascow28,Mirilla,Pascow,Captain Rhythm,China,6/15/2023,613-590-7299,mpascow28@twitpic.com,dance,8130,2727,6933,218844,484103,3/14/1935
tdarkott29,Thaine,Darkott,The Harmonic Hype,Indonesia,11/6/2023,481-594-4214,tdarkott29@last.fm,rap,4754,7946,1774,642099,803804,9/30/1975
plocke2a,Phyllis,Locke,The Harmonic Hype,United States,2/9/2023,571-560-5899,plocke2a@dedecms.com,classical,9479,4837,2860,408635,473551,8/14/1982
unother2b,Umeko,Nother,Captain Rhythm,Czech Republic,2/26/2023,669-361-8387,unother2b@i2i.jp,classical,239,827,502,870150,575398,9/22/2004
chackleton2c,Carly,Hackleton,Lady Stardust,Palestinian Territory,6/10/2023,216-428-5844,chackleton2c@dailymail.co.uk,pop,7931,8848,5153,373615,252813,3/14/1985
fderoche2d,Fionnula,Deroche,The Funky Beat,Poland,6/15/2023,632-597-3749,fderoche2d@squarespace.com,rap,1160,9125,6540,53393,422265,1/14/1991
ekliesl2e,Erinna,Kliesl,The Funky Beat,Indonesia,4/12/2023,391-695-9748,ekliesl2e@fda.gov,soul,2058,9382,1791,395742,27396,5/10/1986
imccann2f,Ianthe,McCann,The Melodic Muse,Russia,9/28/2023,514-919-0145,imccann2f@ucoz.com,punk,1758,467,3368,639028,88264,7/12/1985
kseabon2g,Kerrin,Seabon,The Groovy Guru,Estonia,12/10/2022,774-189-4712,kseabon2g@vinaora.com,rock,4954,6307,7393,172843,920488,4/9/1987
sdymock2h,Skelly,Dymock,The Funky Beat,Russia,12/27/2022,509-392-4492,sdymock2h@nih.gov,punk,1420,8622,611,913464,494163,2/18/2001
mmylan2i,Margo,Mylan,The Funky Beat,Maldives,8/11/2023,723-655-8348,mmylan2i@deviantart.com,gospel,9201,326,3174,590031,156173,2/17/2016
cmcadam2j,Camey,McAdam,Lady Stardust,United States,4/5/2023,313-280-7562,cmcadam2j@un.org,r&b,3481,9395,6286,470281,42893,3/19/1993
pdwane2k,Polly,Dwane,The Groovy Guru,China,1/29/2023,946-655-9145,pdwane2k@nih.gov,rock,240,57,8917,688259,618194,10/11/1984
bcriple2l,Berthe,Criple,DJ Sparkle,Czech Republic,6/1/2023,835-493-9841,bcriple2l@blogtalkradio.com,electronic,9327,2976,1423,760856,388957,12/7/1968
ovenus2m,Olimpia,Venus,The Electric Dream,United States,3/26/2023,305-533-3486,ovenus2m@shutterfly.com,electronic,4728,9667,5192,93209,624286,6/2/1951
maldren2n,Manfred,Aldren,The Soulful Serenade,China,7/15/2023,873-532-4417,maldren2n@biblegateway.com,gospel,9500,5088,2790,358341,677009,1/15/2005
mlodo2o,Marketa,Lodo,The Harmonic Hype,South Africa,8/30/2023,248-929-4703,mlodo2o@goo.gl,blues,2427,3911,9967,134597,254441,5/5/1996
jsibille2p,Joly,Sibille,The Harmonic Hype,Netherlands,3/11/2023,980-148-5000,jsibille2p@flickr.com,electronic,9676,6142,6589,36277,255533,8/6/2015
lmargaritelli2q,Lek,Margaritelli,The Electric Dream,Portugal,6/22/2023,573-488-2351,lmargaritelli2q@rakuten.co.jp,r&b,235,4897,5432,25521,614015,4/4/1989
mcartmill2r,Mureil,Cartmill,Lady Stardust,Russia,1/13/2023,309-426-7588,mcartmill2r@ftc.gov,reggae,2269,7754,1849,899339,809233,2/11/1956
